flight_id,airline,origin,destination,scheduled_departure,actual_departure,delay_minutes,delay_cause,load_factor,turnaround_minutes,cancelled,date
UA0882,UA,LGA,BOS,2025-09-14T09:30:00,2025-09-14T10:01:00,31,security,0.71,43,False,2025-09-14
DL0728,DL,ORD,MSP,2025-09-14T10:15:00,2025-09-14T10:23:00,8,,0.987,69,False,2025-09-14
AA0751,AA,FLL,DTW,2025-09-14T10:15:00,2025-09-14T10:23:00,8,,0.801,47,False,2025-09-14
AA1051,AA,JFK,SFO,2025-09-14T13:00:00,2025-09-14T13:12:00,12,,0.838,66,False,2025-09-14
JB0315,JB,ORD,CLT,2025-09-14T15:30:00,2025-09-14T16:00:00,30,traffic,0.784,76,False,2025-09-14
DL0813,DL,ORD,EWR,2025-09-14T15:45:00,2025-09-14T15:46:00,1,,0.857,55,False,2025-09-14
SW0984,SW,DEN,DFW,2025-09-14T16:00:00,2025-09-14T16:16:00,16,weather,0.665,35,False,2025-09-14
UA0407,UA,LAX,MIA,2025-09-14T17:00:00,2025-09-14T17:01:00,1,,0.762,62,False,2025-09-14
JB0460,JB,IAH,LGA,2025-09-14T17:30:00,2025-09-14T17:39:00,9,,0.807,69,False,2025-09-14
DL1193,DL,MCO,JFK,2025-09-14T17:30:00,2025-09-14T17:38:00,8,,0.973,63,False,2025-09-14
DL0478,DL,CLT,LAX,2025-09-14T18:45:00,2025-09-14T19:05:00,20,mechanical,0.778,58,False,2025-09-14
UA1072,UA,CLT,JFK,2025-09-14T19:15:00,2025-09-14T19:21:00,6,,0.946,47,False,2025-09-14
SW0659,SW,CLT,PHX,2025-09-14T20:45:00,2025-09-14T21:04:00,19,crew,0.917,52,False,2025-09-14
SW0279,SW,DFW,DTW,2025-09-14T22:00:00,2025-09-14T22:14:00,14,,0.741,74,False,2025-09-14
SW0644,SW,MCO,PHX,2025-09-14T22:30:00,2025-09-14T22:42:00,12,,0.838,42,False,2025-09-14
DL1168,DL,LGA,JFK,2025-09-14T22:30:00,2025-09-14T22:33:00,3,,0.772,63,False,2025-09-14
JB0250,JB,LGA,DTW,2025-09-15T10:00:00,2025-09-15T10:11:00,11,,0.711,55,False,2025-09-15
SW0924,SW,MSP,MCO,2025-09-15T12:30:00,2025-09-15T12:42:00,12,,0.837,43,False,2025-09-15
AA1171,AA,LGA,BOS,2025-09-15T13:15:00,2025-09-15T13:16:00,1,,0.652,72,False,2025-09-15
SW0824,SW,CLT,DEN,2025-09-15T14:45:00,2025-09-15T14:50:00,5,,0.937,75,False,2025-09-15
AA0606,AA,SEA,FLL,2025-09-15T17:15:00,2025-09-15T17:25:00,10,,0.946,73,False,2025-09-15
DL0988,DL,LAS,LAX,2025-09-15T19:00:00,2025-09-15T19:12:00,12,,0.83,86,False,2025-09-15
DL1048,DL,MIA,BOS,2025-09-15T19:30:00,2025-09-15T19:35:00,5,,0.95,59,False,2025-09-15
SW0029,SW,ATL,DFW,2025-09-15T20:00:00,2025-09-15T21:37:00,97,traffic,0.926,34,False,2025-09-15
AA1106,AA,IAH,DTW,2025-09-15T21:30:00,2025-09-15T22:19:00,49,traffic,0.838,40,False,2025-09-15
SW0429,SW,DEN,MIA,2025-09-16T05:00:00,2025-09-16T05:11:00,11,,0.746,74,False,2025-09-16
AA1151,AA,BOS,MIA,2025-09-16T05:30:00,2025-09-16T05:35:00,5,,0.853,71,False,2025-09-16
AA0916,AA,SEA,IAH,2025-09-16T06:15:00,2025-09-16T06:27:00,12,,0.79,92,False,2025-09-16
JB0745,JB,LGA,FLL,2025-09-16T07:15:00,2025-09-16T08:21:00,66,weather,0.727,82,False,2025-09-16
DL0918,DL,SEA,PHX,2025-09-16T07:30:00,2025-09-16T07:34:00,4,,0.824,77,False,2025-09-16
JB0715,JB,DTW,IAH,2025-09-16T08:45:00,2025-09-16T09:00:00,15,traffic,0.868,64,False,2025-09-16
DL0623,DL,MIA,SEA,2025-09-16T09:15:00,2025-09-16T09:16:00,1,,0.77,68,False,2025-09-16
SW0254,SW,DFW,DTW,2025-09-16T13:30:00,2025-09-16T13:32:00,2,,0.896,61,False,2025-09-16
JB0945,JB,PHX,EWR,2025-09-16T14:45:00,2025-09-16T14:47:00,2,,0.96,80,False,2025-09-16
AA0086,AA,CLT,MSP,2025-09-16T15:00:00,2025-09-16T15:12:00,12,,0.982,41,False,2025-09-16
UA0477,UA,DEN,ATL,2025-09-16T15:45:00,2025-09-16T16:25:00,40,crew,0.98,60,False,2025-09-16
JB0885,JB,SFO,CLT,2025-09-16T16:15:00,2025-09-16T16:22:00,7,,0.933,55,False,2025-09-16
UA0832,UA,MIA,LAS,2025-09-16T17:00:00,2025-09-16T17:09:00,9,,0.819,78,False,2025-09-16
AA0421,AA,SEA,MCO,2025-09-16T19:15:00,2025-09-16T19:21:00,6,,0.899,76,False,2025-09-16
JB0760,JB,BOS,LAS,2025-09-16T19:15:00,2025-09-16T19:17:00,2,,0.778,69,False,2025-09-16
SW0819,SW,FLL,DTW,2025-09-16T20:45:00,2025-09-16T20:48:00,3,,0.783,75,False,2025-09-16
DL1078,DL,MCO,MIA,2025-09-16T21:15:00,2025-09-16T21:21:00,6,,0.884,47,False,2025-09-16
UA0402,UA,LAS,DFW,2025-09-16T21:30:00,2025-09-16T21:40:00,10,,0.881,69,False,2025-09-16
DL1133,DL,SEA,ATL,2025-09-17T06:15:00,2025-09-17T06:22:00,7,,0.906,51,False,2025-09-17
AA0096,AA,ORD,LAS,2025-09-17T06:30:00,2025-09-17T06:31:00,1,,0.778,42,False,2025-09-17
SW0294,SW,SFO,BOS,2025-09-17T07:00:00,2025-09-17T07:05:00,5,,0.847,69,False,2025-09-17
DL0908,DL,MCO,SEA,2025-09-17T08:30:00,2025-09-17T08:37:00,7,,0.887,32,False,2025-09-17
SW0964,SW,LAX,DEN,2025-09-17T09:45:00,2025-09-17T09:50:00,5,,0.78,41,False,2025-09-17
UA0572,UA,ATL,LAS,2025-09-17T10:00:00,2025-09-17T10:11:00,11,,0.872,75,False,2025-09-17
DL0143,DL,DEN,LAS,2025-09-17T17:15:00,2025-09-17T17:20:00,5,,0.698,70,False,2025-09-17
DL0608,DL,LAS,ORD,2025-09-17T18:00:00,2025-09-17T18:08:00,8,,0.696,45,False,2025-09-17
AA0531,AA,PHX,DTW,2025-09-17T22:15:00,2025-09-17T22:25:00,10,,0.854,73,False,2025-09-17
AA0386,AA,CLT,DTW,2025-09-18T05:15:00,2025-09-18T05:20:00,5,,0.891,37,False,2025-09-18
DL0218,DL,CLT,PHX,2025-09-18T06:00:00,2025-09-18T06:00:00,0,,0.806,80,False,2025-09-18
JB0610,JB,JFK,LGA,2025-09-18T06:00:00,2025-09-18T06:14:00,14,,0.795,25,False,2025-09-18
DL0158,DL,SFO,EWR,2025-09-18T09:15:00,2025-09-18T09:17:00,2,,0.878,69,False,2025-09-18
DL0858,DL,MSP,JFK,2025-09-18T11:15:00,2025-09-18T11:15:00,0,,0.918,71,False,2025-09-18
AA0301,AA,SEA,LGA,2025-09-18T11:30:00,2025-09-18T11:30:00,0,,0.812,48,False,2025-09-18
JB0990,JB,PHX,LGA,2025-09-18T16:00:00,2025-09-18T16:12:00,12,,1.0,99,False,2025-09-18
UA0257,UA,MSP,PHX,2025-09-18T16:45:00,2025-09-18T16:48:00,3,,0.843,73,False,2025-09-18
DL0763,DL,LAX,ORD,2025-09-18T17:30:00,2025-09-18T17:41:00,11,,1.0,87,False,2025-09-18
AA0786,AA,PHX,DEN,2025-09-18T18:30:00,2025-09-18T18:41:00,11,,0.788,63,False,2025-09-18
AA0296,AA,EWR,MSP,2025-09-18T19:15:00,2025-09-18T19:16:00,1,,0.789,89,False,2025-09-18
JB0490,JB,ORD,CLT,2025-09-18T20:30:00,2025-09-18T20:38:00,8,,0.765,83,False,2025-09-18
UA0087,UA,DFW,JFK,2025-09-18T20:45:00,2025-09-18T20:58:00,13,,0.722,87,False,2025-09-18
UA0337,UA,MSP,CLT,2025-09-18T20:45:00,2025-09-18T20:45:00,0,,0.837,50,False,2025-09-18
SW1119,SW,MIA,PHX,2025-09-18T21:45:00,2025-09-18T22:06:00,21,traffic,0.969,60,False,2025-09-18
UA0557,UA,JFK,DEN,2025-09-19T06:30:00,2025-09-19T06:36:00,6,,0.798,93,False,2025-09-19
AA0781,AA,PHX,SEA,2025-09-19T09:30:00,2025-09-19T09:38:00,8,,0.858,50,False,2025-09-19
DL0693,DL,SEA,FLL,2025-09-19T12:15:00,2025-09-19T12:17:00,2,,0.831,59,False,2025-09-19
AA1131,AA,PHX,ATL,2025-09-19T13:45:00,2025-09-19T13:55:00,10,,0.866,45,False,2025-09-19
UA0187,UA,LAX,DEN,2025-09-19T14:30:00,2025-09-19T15:09:00,39,crew,1.0,81,False,2025-09-19
JB0060,JB,SEA,LAX,2025-09-19T15:00:00,2025-09-19T15:08:00,8,,0.916,58,False,2025-09-19
UA0602,UA,JFK,IAH,2025-09-19T15:00:00,2025-09-19T15:14:00,14,,0.908,40,False,2025-09-19
SW1029,SW,MSP,PHX,2025-09-19T15:00:00,2025-09-19T15:05:00,5,,0.823,61,False,2025-09-19
AA0626,AA,DEN,FLL,2025-09-19T16:30:00,2025-09-19T16:30:00,0,,0.794,34,False,2025-09-19
JB1085,JB,FLL,DFW,2025-09-19T17:45:00,2025-09-19T17:49:00,4,,0.77,76,False,2025-09-19
DL0678,DL,ATL,LAS,2025-09-19T18:30:00,2025-09-19T18:33:00,3,,0.938,56,False,2025-09-19
JB1140,JB,MCO,PHX,2025-09-19T19:30:00,2025-09-19T19:37:00,7,,0.798,92,False,2025-09-19
DL0883,DL,MCO,FLL,2025-09-19T19:45:00,2025-09-19T19:53:00,8,,0.97,46,False,2025-09-19
JB0070,JB,BOS,SFO,2025-09-20T07:15:00,2025-09-20T08:25:00,70,security,0.715,86,False,2025-09-20
JB0575,JB,LAS,EWR,2025-09-20T07:30:00,2025-09-20T07:31:00,1,,0.891,49,False,2025-09-20
AA0401,AA,BOS,DEN,2025-09-20T11:15:00,,0,,0.0,0,True,2025-09-20
UA0757,UA,MCO,ATL,2025-09-20T14:15:00,2025-09-20T15:01:00,46,traffic,0.827,71,False,2025-09-20
UA0732,UA,DEN,JFK,2025-09-20T16:00:00,2025-09-20T16:00:00,0,,0.908,69,False,2025-09-20
SW0694,SW,CLT,IAH,2025-09-20T16:15:00,2025-09-20T16:28:00,13,,0.856,54,False,2025-09-20
JB0445,JB,IAH,MIA,2025-09-20T21:00:00,2025-09-20T21:02:00,2,,0.933,79,False,2025-09-20
JB0720,JB,EWR,IAH,2025-09-20T21:30:00,2025-09-20T21:39:00,9,,0.801,41,False,2025-09-20
UA0142,UA,BOS,ORD,2025-09-20T22:00:00,2025-09-20T23:22:00,82,crew,0.929,37,False,2025-09-20
AA0546,AA,LAX,EWR,2025-09-21T05:15:00,2025-09-21T05:17:00,2,,0.816,77,False,2025-09-21
UA1172,UA,MSP,MIA,2025-09-21T05:30:00,2025-09-21T05:35:00,5,,0.925,57,False,2025-09-21
SW0864,SW,MIA,LAX,2025-09-21T05:45:00,2025-09-21T05:55:00,10,,0.868,78,False,2025-09-21
DL0303,DL,BOS,SEA,2025-09-21T08:30:00,2025-09-21T08:39:00,9,,0.826,79,False,2025-09-21
SW0889,SW,BOS,MCO,2025-09-21T08:45:00,2025-09-21T08:47:00,2,,0.893,62,False,2025-09-21
JB1060,JB,FLL,EWR,2025-09-21T09:00:00,2025-09-21T09:17:00,17,traffic,0.779,85,False,2025-09-21
AA1136,AA,LGA,CLT,2025-09-21T11:00:00,2025-09-21T11:14:00,14,,1.0,66,False,2025-09-21
DL0383,DL,BOS,JFK,2025-09-21T12:00:00,2025-09-21T12:05:00,5,,0.749,30,False,2025-09-21
SW1024,SW,MIA,MCO,2025-09-21T14:30:00,2025-09-21T14:56:00,26,mechanical,0.92,79,False,2025-09-21
SW1149,SW,ATL,LGA,2025-09-21T15:00:00,2025-09-21T15:02:00,2,,0.813,32,False,2025-09-21
SW0669,SW,DFW,ATL,2025-09-21T15:45:00,2025-09-21T15:45:00,0,,1.0,78,False,2025-09-21
SW0804,SW,CLT,ORD,2025-09-21T16:45:00,2025-09-21T17:43:00,58,mechanical,0.852,71,False,2025-09-21
AA0011,AA,IAH,DTW,2025-09-21T21:30:00,2025-09-21T21:37:00,7,,0.787,56,False,2025-09-21
UA0332,UA,CLT,ATL,2025-09-22T06:15:00,2025-09-22T06:29:00,14,,0.817,56,False,2025-09-22
DL0798,DL,IAH,MCO,2025-09-22T07:45:00,2025-09-22T07:48:00,3,,0.807,63,False,2025-09-22
DL0298,DL,ATL,BOS,2025-09-22T08:00:00,2025-09-22T08:06:00,6,,0.841,46,False,2025-09-22
DL0633,DL,IAH,FLL,2025-09-22T08:15:00,2025-09-22T08:25:00,10,,0.848,51,False,2025-09-22
SW0209,SW,DTW,DFW,2025-09-22T10:30:00,2025-09-22T10:31:00,1,,0.852,63,False,2025-09-22
JB0740,JB,ATL,EWR,2025-09-22T10:30:00,2025-09-22T10:40:00,10,,0.884,51,False,2025-09-22
DL0543,DL,DTW,LAS,2025-09-22T12:00:00,2025-09-22T12:11:00,11,,0.87,41,False,2025-09-22
UA0227,UA,DFW,MIA,2025-09-22T12:15:00,2025-09-22T12:27:00,12,,0.806,86,False,2025-09-22
AA0811,AA,DTW,IAH,2025-09-22T12:30:00,2025-09-22T12:35:00,5,,0.712,49,False,2025-09-22
SW0499,SW,IAH,SFO,2025-09-22T13:15:00,2025-09-22T13:22:00,7,,0.752,45,False,2025-09-22
AA0981,AA,ATL,DFW,2025-09-22T14:30:00,2025-09-22T14:30:00,0,,0.823,79,False,2025-09-22
AA0636,AA,BOS,MIA,2025-09-22T18:15:00,2025-09-22T18:27:00,12,,0.822,61,False,2025-09-22
DL0008,DL,LGA,PHX,2025-09-22T20:00:00,2025-09-22T20:04:00,4,,0.888,47,False,2025-09-22
JB0475,JB,BOS,SFO,2025-09-22T20:30:00,2025-09-22T20:36:00,6,,0.906,53,False,2025-09-22
SW0364,SW,EWR,DEN,2025-09-22T21:30:00,2025-09-22T22:07:00,37,weather,0.9,77,False,2025-09-22
AA0641,AA,FLL,DTW,2025-09-22T22:15:00,2025-09-22T22:26:00,11,,0.782,53,False,2025-09-22
AA0836,AA,DTW,MCO,2025-09-22T22:45:00,2025-09-22T22:57:00,12,,0.863,72,False,2025-09-22
SW1054,SW,SEA,JFK,2025-09-23T05:45:00,2025-09-23T05:45:00,0,,0.829,76,False,2025-09-23
JB0335,JB,BOS,IAH,2025-09-23T06:45:00,2025-09-23T06:47:00,2,,0.878,60,False,2025-09-23
UA0947,UA,SFO,SEA,2025-09-23T06:45:00,2025-09-23T06:53:00,8,,0.814,29,False,2025-09-23
DL0448,DL,DFW,LGA,2025-09-23T09:00:00,2025-09-23T09:44:00,44,traffic,0.869,58,False,2025-09-23
UA0762,UA,DFW,LGA,2025-09-23T09:30:00,2025-09-23T09:37:00,7,,0.809,72,False,2025-09-23
SW0939,SW,CLT,FLL,2025-09-23T10:15:00,2025-09-23T10:28:00,13,,0.776,58,False,2025-09-23
SW0664,SW,BOS,LGA,2025-09-23T11:00:00,,0,,0.0,0,True,2025-09-23
UA0667,UA,MIA,EWR,2025-09-23T11:45:00,2025-09-23T11:54:00,9,,0.84,43,False,2025-09-23
SW1144,SW,SEA,MCO,2025-09-23T11:45:00,2025-09-23T11:58:00,13,,0.72,44,False,2025-09-23
SW0274,SW,DFW,LAS,2025-09-23T12:00:00,2025-09-23T12:07:00,7,,0.858,70,False,2025-09-23
AA1026,AA,MCO,ATL,2025-09-23T16:15:00,2025-09-23T16:25:00,10,,0.847,78,False,2025-09-23
SW0219,SW,ATL,MSP,2025-09-23T16:30:00,2025-09-23T17:06:00,36,weather,0.864,36,False,2025-09-23
AA0456,AA,DEN,SEA,2025-09-23T17:00:00,2025-09-23T17:04:00,4,,0.841,74,False,2025-09-23
DL0893,DL,DFW,MIA,2025-09-23T17:30:00,2025-09-23T17:33:00,3,,0.907,104,False,2025-09-23
UA0752,UA,LAX,FLL,2025-09-23T17:45:00,2025-09-23T17:49:00,4,,0.935,65,False,2025-09-23
JB0410,JB,DTW,IAH,2025-09-23T18:00:00,2025-09-23T18:10:00,10,,0.84,42,False,2025-09-23
SW1164,SW,DFW,BOS,2025-09-23T18:30:00,2025-09-23T18:44:00,14,,0.802,76,False,2025-09-23
DL0983,DL,SEA,FLL,2025-09-23T19:15:00,2025-09-23T19:21:00,6,,0.901,42,False,2025-09-23
JB0390,JB,JFK,FLL,2025-09-23T20:15:00,2025-09-23T21:47:00,92,traffic,0.767,76,False,2025-09-23
AA0361,AA,DEN,FLL,2025-09-23T22:00:00,2025-09-23T23:02:00,62,mechanical,0.897,77,False,2025-09-23
UA0462,UA,LAS,DEN,2025-09-24T05:45:00,2025-09-24T05:50:00,5,,0.829,66,False,2025-09-24
SW0539,SW,LAS,BOS,2025-09-24T08:30:00,2025-09-24T09:50:00,80,weather,0.76,47,False,2025-09-24
JB0950,JB,MIA,LAX,2025-09-24T08:30:00,2025-09-24T08:56:00,26,weather,0.866,67,False,2025-09-24
AA0621,AA,ORD,DEN,2025-09-24T12:15:00,2025-09-24T12:19:00,4,,0.869,72,False,2025-09-24
JB0800,JB,LGA,DFW,2025-09-24T13:30:00,2025-09-24T13:42:00,12,,0.87,37,False,2025-09-24
JB0850,JB,FLL,SFO,2025-09-24T16:45:00,2025-09-24T16:52:00,7,,0.697,55,False,2025-09-24
DL0028,DL,PHX,DEN,2025-09-24T18:30:00,2025-09-24T18:38:00,8,,0.844,44,False,2025-09-24
JB0660,JB,DFW,JFK,2025-09-24T18:45:00,2025-09-24T18:59:00,14,,0.824,74,False,2025-09-24
